Date,Time,Day of Week,Road Team,Home Team,Venue,Venue Capactiy,Notes,Attendance Rank,Published Attendance,Percent of Venue Cap,Running Total,,
1/1/24,12:30 ET,Monday,New York,Toronto,Mattamy Athletic Centre,2539,League / Home Opener,55,2537,99.92%,2537,Max Attendance,21105
1/2/24,7:00 ET,Tuesday,Montréal,Ottawa,TD Place,8585,Home Opener,16,8318,96.89%,10855,Min Attendance,728
1/3/24,7:00 ET,Wednesday,Minnesota,Boston,Tsongas Center,6500,Home Opener,39,4012,61.72%,14867,Mean Attendance,5449
1/5/24,7:00 ET,Friday,Toronto,New York,Total Mortgage Arena,10000,Home Opener,65,2152,21.52%,17019,Median Attendance,4147
1/6/24,2:30 CT,Saturday,Montréal,Minnesota,Grand Casino Arena,17954,Home Opener,4,13316,74.17%,30335,Total Attendance,392340
1/10/24,7:00 ET,Wednesday,Montréal,New York,UBS Arena,17250,Venue Opener,64,2201,12.76%,32536,Games Played,72
1/10/24,7:00 CT,Wednesday,Toronto,Minnesota,Grand Casino Arena,17954,,31,4707,26.22%,37243,,
1/13/24,1:00 ET,Saturday,Ottawa,Toronto,Mattamy Athletic Centre,2539,,62,2417,95.19%,39660,,
1/13/24,3:30 ET,Saturday,Boston,Montréal,Verdun Auditorium,3232,Home Opener,42,3245,100.40%,42905,,
1/14/24,3:00 CT,Sunday,New York,Minnesota,Grand Casino Arena,17954,,19,7951,44.29%,50856,,
1/16/24,7:00 ET,Tuesday,New York,Montréal,Place Bell,10062,Venue Opener,23,6334,62.95%,57190,,
1/17/24,7:00 ET,Wednesday,Minnesota,Ottawa,TD Place,8585,,27,5609,65.33%,62799,,
1/17/24,7:00 ET,Wednesday,Boston,Toronto,Mattamy Athletic Centre,2539,,59,2491,98.11%,65290,,
1/20/24,12:30 ET,Saturday,New York,Boston,Tsongas Center,6500,First Weekend Game,40,4007,61.65%,69297,,
1/20/24,8:00 ET,Saturday,Toronto,Montréal,Verdun Auditorium,3232,,43,3232,100.00%,72529,,
1/23/24,7:00 ET,Tuesday,Toronto,Ottawa,TD Place,8585,,24,6316,73.57%,78845,,
1/24/24,7:00 ET,Wednesday,Boston,Ottawa,TD Place,8585,,28,5208,60.66%,84053,,
1/24/24,7:00 CT,Wednesday,Montréal,Minnesota,Grand Casino Arena,17954,,30,5001,27.85%,89054,,
1/26/24,7:00 ET,Friday,New York,Toronto,Mattamy Athletic Centre,2539,,57,2506,98.70%,91560,,
1/27/24,3:30 ET,Saturday,Ottawa,Montréal,Place Bell,10062,First Weekend Game,11,8646,85.93%,100206,,
1/27/24,4:00 ET,Saturday,Minnesota,Boston,Tsongas Center,6500,,38,4059,62.45%,104265,,
