Date,Time,Day of Week,Road Team,Home Team,Venue,Venue Capactiy,Notes,Attendance Rank,Published Attendance,Percent of Venue Cap,Running Total
11/30/2024,2:00 pm EST,Saturday,Boston,Toronto,Coca-Cola Coliseum,8140,Home / League Opener,39,8089,99.37%,8089
11/30/2024,5:00 pm EST,Saturday,Ottawa,Montréal,Place Bell,10062,Home Opener,15,10033,99.71%,18122
12/1/2024,5:00 pm CST,Sunday,New York,Minnesota,Grand Casino Arena,17954,Home Opener,40,8022,44.68%,26144
12/3/2024,7:00 pm EST,Tuesday,Toronto,Ottawa,TD Place,8585,Home Opener,47,6451,75.14%,32595
12/4/2024,7:00 pm EST,Wednesday,Minnesota,Boston,Tsongas Center,6500,Home Opener,75,3811,58.63%,36406
12/4/2024,7:00 pm EST,Wednesday,New York,Montréal,Place Bell,10062,"First Weeknight Game, Poor weather",63,5415,53.82%,41821
12/6/2024,7:00 pm EST,Friday,Montréal,Ottawa,Canadian Tire Centre,18655,NHL Rink (Ottawa Senators),9,11065,59.31%,52886
12/7/2024,2:00 pm EST,Saturday,Minnesota,Toronto,Coca-Cola Coliseum,8140,,42,7584,93.17%,60470
12/8/2024,4:00 pm EST,Sunday,New York,Boston,Tsongas Center,6500,First Weekend Game,73,4003,61.58%,64473
12/17/2024,7:00 pm EST,Tuesday,Ottawa,Boston,Tsongas Center,6500,,82,2854,43.91%,67327
12/18/2024,7:00 pm EST,Wednesday,Toronto,New York,Prudential Center,16514,Home Opener,83,2851,17.26%,70178
12/19/2024,7:00 pm CST,Thursday,Ottawa,Minnesota,Grand Casino Arena,17954,,68,4686,26.10%,74864
12/21/2024,2:00 pm EST,Saturday,Montréal,Toronto,Coca-Cola Coliseum,8140,,35,8251,101.36%,83115
12/22/2024,12:00 pm EST,Sunday,Minnesota,New York,Prudential Center,16514,First Weekend Game,85,2722,16.48%,85837
12/27/2024,7:00 pm EST,Friday,Boston,Toronto,Coca-Cola Coliseum,8140,,34,8264,101.52%,94101
12/28/2024,1:00 pm CST,Saturday,Montréal,Minnesota,Grand Casino Arena,17954,,21,8726,48.60%,102827
12/29/2024,1:00 pm EST,Sunday,Ottawa,New York,Prudential Center,16514,,81,2946,17.84%,105773
12/30/2024,7:00 pm EST,Monday,Boston,Montréal,Place Bell,10062,,11,10172,101.09%,115945
12/31/2024,7:00 pm EST,Tuesday,Ottawa,Toronto,Coca-Cola Coliseum,8140,,33,8278,101.70%,124223
1/2/2025,6:30 pm CST,Thursday,Boston,Minnesota,Grand Casino Arena,17954,,64,5066,28.22%,129289
