GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/8/24,@,Florida Panthers,4,6,L,,0,1,0,L 1,19813,2:39,
2,10/10/24,,Montreal Canadiens,6,4,W,,1,1,0,W 1,17850,2:44,
3,10/12/24,,Los Angeles Kings,2,1,W,OT,2,1,0,W 2,17850,2:28,
4,10/14/24,,Florida Panthers,3,4,L,,2,2,0,L 1,17850,2:36,
5,10/16/24,@,Colorado Avalanche,5,3,W,,3,2,0,W 1,18024,2:34,
6,10/19/24,@,Utah Hockey Club,1,2,L,OT,3,2,1,L 1,11131,2:30,
7,10/22/24,@,Nashville Predators,0,4,L,,3,3,1,L 2,17184,2:26,
8,10/24/24,,Dallas Stars,2,5,L,,3,4,1,L 3,17850,2:27,
9,10/26/24,,Toronto Maple Leafs,4,3,W,OT,4,4,1,W 1,17850,2:38,
10,10/29/24,,Philadelphia Flyers,0,2,L,,4,5,1,L 1,17850,2:30,
11,10/31/24,@,Carolina Hurricanes,2,8,L,,4,6,1,L 2,18700,2:39,
12,11/2/24,@,Philadelphia Flyers,3,0,W,,5,6,1,W 1,17429,2:26,
13,11/3/24,,Seattle Kraken,2,0,W,,6,6,1,W 2,17850,2:38,
14,11/5/24,@,Toronto Maple Leafs,0,4,L,,6,7,1,L 1,18730,2:35,
15,11/7/24,,Calgary Flames,4,3,W,OT,7,7,1,W 1,17850,2:40,
16,11/9/24,,Ottawa Senators,2,3,L,OT,7,7,2,L 1,17850,2:32,
17,11/12/24,@,St. Louis Blues,3,2,W,,8,7,2,W 1,18096,2:27,
18,11/14/24,@,Dallas Stars,2,7,L,,8,8,2,L 1,18532,2:33,
19,11/16/24,,St. Louis Blues,2,3,L,OT,8,8,3,L 2,17850,2:39,
20,11/18/24,,Columbus Blue Jackets,1,5,L,,8,9,3,L 3,17850,2:32,
21,11/21/24,,Utah Hockey Club,1,0,W,,9,9,3,W 1,17850,2:34,
22,11/23/24,@,Detroit Red Wings,2,1,W,,10,9,3,W 2,19515,2:31,
23,11/26/24,,Vancouver Canucks,0,2,L,,10,10,3,L 1,17850,2:36,
24,11/27/24,@,New York Islanders,6,3,W,,11,10,3,W 1,16145,2:25,
25,11/29/24,,Pittsburgh Penguins,1,2,L,,11,11,3,L 1,17850,2:31,
26,12/1/24,,Montreal Canadiens,6,3,W,,12,11,3,W 1,17850,2:33,
27,12/3/24,,Detroit Red Wings,3,2,W,OT,13,11,3,W 2,17950,2:44,
28,12/4/24,@,Chicago Blackhawks,4,2,W,,14,11,3,W 3,19179,2:22,
29,12/7/24,,Philadelphia Flyers,4,3,W,OT,15,11,3,W 4,17850,2:38,
30,12/10/24,@,Winnipeg Jets,1,8,L,,15,12,3,L 1,12921,2:37,
31,12/12/24,@,Seattle Kraken,1,5,L,,15,13,3,L 2,17151,2:24,
32,12/14/24,@,Vancouver Canucks,5,1,W,,16,13,3,W 1,18787,2:31,
33,12/17/24,@,Calgary Flames,4,3,W,OT,17,13,3,W 2,17536,2:28,
34,12/19/24,@,Edmonton Oilers,2,3,L,OT,17,13,4,L 1,18347,2:28,
35,12/21/24,,Buffalo Sabres,3,1,W,,18,13,4,W 1,17850,2:25,
36,12/23/24,,Washington Capitals,4,1,W,,19,13,4,W 2,17850,2:32,
37,12/27/24,@,Columbus Blue Jackets,2,6,L,,19,14,4,L 1,18821,2:24,
38,12/28/24,,Columbus Blue Jackets,4,0,W,,20,14,4,W 1,17850,2:22,
39,12/31/24,@,Washington Capitals,1,3,L,,20,15,4,L 1,18573,2:38,
40,1/2/25,@,New York Rangers,1,2,L,,20,16,4,L 2,18006,2:33,
41,1/4/25,@,Toronto Maple Leafs,4,6,L,,20,17,4,L 3,18996,2:31,
42,1/5/25,,New York Islanders,4,5,L,OT,20,17,5,L 4,17850,2:35,
43,1/7/25,,Edmonton Oilers,0,4,L,,20,18,5,L 5,17850,2:19,
44,1/9/25,@,Tampa Bay Lightning,1,4,L,,20,19,5,L 6,19092,2:44,
45,1/11/25,@,Florida Panthers,4,3,W,OT,21,19,5,W 1,19687,2:51,
46,1/14/25,,Tampa Bay Lightning,6,2,W,,22,19,5,W 2,17850,2:53,
47,1/18/25,@,Ottawa Senators,5,6,L,SO,22,19,6,L 1,18768,2:56,
48,1/20/25,,San Jose Sharks,6,3,W,,23,19,6,W 1,17850,2:30,
49,1/22/25,@,New Jersey Devils,1,5,L,,23,20,6,L 1,16025,2:26,
50,1/23/25,,Ottawa Senators,2,0,W,,24,20,6,W 1,17850,2:27,
51,1/25/25,,Colorado Avalanche,3,1,W,,25,20,6,W 2,17850,2:25,
52,1/28/25,@,Buffalo Sabres,2,7,L,,25,21,6,L 1,15607,2:26,
53,1/30/25,,Winnipeg Jets,2,6,L,,25,22,6,L 2,17850,2:34,
54,2/1/25,,New York Rangers,6,3,W,,26,22,6,W 1,17850,2:31,
55,2/4/25,,Minnesota Wild,3,0,W,,27,22,6,W 2,17850,2:29,
56,2/5/25,@,New York Rangers,2,3,L,,27,23,6,L 1,18006,2:32,
57,2/8/25,,Vegas Golden Knights,3,4,L,,27,24,6,L 2,17850,2:41,
58,2/22/25,,Anaheim Ducks,2,3,L,OT,27,24,7,L 3,17850,2:38,
59,2/25/25,,Toronto Maple Leafs,4,5,L,OT,27,24,8,L 4,17850,2:42,
60,2/27/25,,New York Islanders,1,2,L,,27,25,8,L 5,17850,2:33,
61,3/1/25,@,Pittsburgh Penguins,3,2,W,,28,25,8,W 1,17320,2:33,
62,3/2/25,@,Minnesota Wild,0,1,L,,28,26,8,L 1,18447,2:21,
63,3/4/25,,Nashville Predators,3,6,L,,28,27,8,L 2,17850,2:24,
64,3/6/25,@,Carolina Hurricanes,2,3,L,,28,28,8,L 3,18700,2:29,
65,3/8/25,@,Tampa Bay Lightning,4,0,W,,29,28,8,W 1,19092,2:29,
66,3/11/25,,Florida Panthers,3,2,W,,30,28,8,W 2,17850,2:41,
67,3/13/25,@,Ottawa Senators,3,6,L,,30,29,8,L 1,17458,2:32,
68,3/15/25,,Tampa Bay Lightning,2,6,L,,30,30,8,L 2,17850,2:28,
69,3/17/25,,Buffalo Sabres,2,3,L,OT,30,30,9,L 3,17850,2:37,
70,3/20/25,@,Vegas Golden Knights,1,5,L,,30,31,9,L 4,18225,2:24,
71,3/22/25,@,San Jose Sharks,1,3,L,,30,32,9,L 5,17435,2:24,
72,3/23/25,@,Los Angeles Kings,2,7,L,,30,33,9,L 6,18145,2:31,
73,3/26/25,@,Anaheim Ducks,2,6,L,,30,34,9,L 7,16387,2:29,
74,3/29/25,@,Detroit Red Wings,1,2,L,,30,35,9,L 8,19515,2:30,
75,4/1/25,,Washington Capitals,3,4,L,,30,36,9,L 9,17850,2:31,
76,4/3/25,@,Montreal Canadiens,1,4,L,,30,37,9,L 10,21105,2:33,
77,4/5/25,,Carolina Hurricanes,5,1,W,,31,37,9,W 1,17850,2:23,
78,4/6/25,@,Buffalo Sabres,3,6,L,,31,38,9,L 1,15653,2:25,
79,4/8/25,@,New Jersey Devils,7,2,W,,32,38,9,W 1,15507,2:19,
80,4/10/25,,Chicago Blackhawks,2,5,L,,32,39,9,L 1,17850,2:24,
81,4/13/25,@,Pittsburgh Penguins,4,1,W,,33,39,9,W 1,15976,2:23,
82,4/15/25,,New Jersey Devils,4,5,L,OT,33,39,10,L 1,17850,2:32,
