GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/12/23,,Florida Panthers,2,0,W,,1,0,0,W 1,"18,976",2:37,
2,10/14/23,@,Toronto Maple Leafs,4,7,L,,1,1,0,L 1,"18,903",2:36,
3,10/17/23,@,Montreal Canadiens,5,2,W,,2,1,0,W 1,"21,105",2:36,
4,10/19/23,,Los Angeles Kings,3,7,L,,2,2,0,L 1,"18,689",2:35,
5,10/21/23,,Columbus Blue Jackets,4,5,L,OT,2,2,1,L 2,"18,479",2:39,
6,10/24/23,,Edmonton Oilers,7,4,W,,3,2,1,W 1,"17,064",2:30,
7,10/26/23,@,Philadelphia Flyers,2,6,L,,3,3,1,L 1,"17,144",2:30,
8,10/27/23,@,Washington Capitals,2,3,L,SO,3,3,2,L 2,"16,602",2:45,
9,10/29/23,@,New Jersey Devils,3,4,L,,3,4,2,L 3,"16,514",2:25,
10,11/2/23,,New Jersey Devils,3,5,L,,3,5,2,L 4,"18,399",2:24,
11,11/4/23,,New York Rangers,5,4,W,SO,4,5,2,W 1,"18,678",2:38,
12,11/7/23,@,New York Islanders,4,2,W,,5,5,2,W 2,"13,527",2:30,
13,11/9/23,@,New York Rangers,1,4,L,,5,6,2,L 1,"18,006",2:23,
14,11/10/23,@,Buffalo Sabres,2,3,L,,5,7,2,L 2,"17,031",2:26,
15,11/12/23,,Dallas Stars,3,8,L,,5,8,2,L 3,"18,509",2:33,
16,11/18/23,@,Ottawa Senators,1,2,L,SO,5,8,3,L 4,"13,213",2:38,"at Ericsson Globe Arena (Stockholm, SE)"
17,11/19/23,,Toronto Maple Leafs,3,4,L,OT,5,8,4,L 5,"13,356",2:38,"at Ericsson Globe Arena (Stockholm, SE)"
18,11/24/23,,Colorado Avalanche,2,3,L,,5,9,4,L 6,"19,057",2:23,
19,11/26/23,@,Detroit Red Wings,1,4,L,,5,10,4,L 7,"18,833",2:31,
20,11/28/23,,St. Louis Blues,3,1,W,,6,10,4,W 1,"17,563",2:23,
21,11/30/23,@,Nashville Predators,6,1,W,,7,10,4,W 2,"17,159",2:38,
22,12/3/23,,Chicago Blackhawks,4,1,W,,8,10,4,W 3,"19,301",2:21,
23,12/5/23,@,Calgary Flames,5,2,W,,9,10,4,W 4,"16,661",2:33,
24,12/7/23,@,Vancouver Canucks,0,2,L,,9,11,4,L 1,"18,667",2:41,
25,12/8/23,@,Edmonton Oilers,3,4,L,,9,12,4,L 2,"18,173",2:26,
26,12/10/23,@,Seattle Kraken,3,0,W,,10,12,4,W 1,"17,151",2:29,
27,12/14/23,,Calgary Flames,3,2,W,SO,11,12,4,W 2,"18,167",2:44,
28,12/16/23,,Vancouver Canucks,2,1,W,SO,12,12,4,W 3,"18,519",2:39,
29,12/18/23,@,Pittsburgh Penguins,3,4,L,,12,13,4,L 1,"18,200",2:32,
30,12/19/23,@,Boston Bruins,4,3,W,OT,13,13,4,W 1,"17,850",2:36,
31,12/21/23,,Montreal Canadiens,4,3,W,OT,14,13,4,W 2,"18,387",2:38,
32,12/23/23,,Boston Bruins,3,2,W,,15,13,4,W 3,"19,183",2:33,
33,12/27/23,,Detroit Red Wings,6,3,W,,16,13,4,W 4,"19,105",2:23,
34,12/30/23,@,Winnipeg Jets,2,4,L,,16,14,4,L 1,"15,225",2:25,
35,12/31/23,,Winnipeg Jets,2,3,L,,16,15,4,L 2,"19,129",2:28,
36,1/2/24,,Calgary Flames,1,3,L,,16,16,4,L 3,"18,456",2:21,
37,1/4/24,,Tampa Bay Lightning,1,4,L,,16,17,4,L 4,"18,689",2:25,
38,1/6/24,@,Columbus Blue Jackets,4,3,W,OT,17,17,4,W 1,"18,771",2:41,
39,1/8/24,,Dallas Stars,0,4,L,,17,18,4,L 1,"18,087",2:33,
40,1/10/24,@,Dallas Stars,2,7,L,,17,19,4,L 2,"18,532",2:31,
41,1/12/24,,Philadelphia Flyers,3,4,L,OT,17,19,5,L 3,"18,473",2:35,
42,1/13/24,,Arizona Coyotes,0,6,L,,17,20,5,L 4,"18,812",2:32,
43,1/15/24,,New York Islanders,5,0,W,,18,20,5,W 1,"18,231",2:31,
44,1/18/24,@,Tampa Bay Lightning,3,7,L,,18,21,5,L 1,"19,092",2:29,
45,1/19/24,@,Florida Panthers,6,4,W,,19,21,5,W 1,"19,595",2:39,
46,1/21/24,@,Carolina Hurricanes,5,2,W,,20,21,5,W 2,"18,749",2:29,
47,1/23/24,,Washington Capitals,5,3,W,,21,21,5,W 3,"18,437",2:29,
48,1/25/24,,Nashville Predators,2,3,L,,21,22,5,L 1,"18,254",2:35,
49,1/27/24,,Anaheim Ducks,2,3,L,,21,23,5,L 2,"19,053",2:31,
50,2/7/24,@,Chicago Blackhawks,2,1,W,,22,23,5,W 1,"17,230",2:31,
51,2/9/24,,Pittsburgh Penguins,3,2,W,,23,23,5,W 2,"19,329",2:43,
52,2/12/24,@,Vegas Golden Knights,5,3,W,,24,23,5,W 3,"18,207",2:33,
53,2/14/24,@,Arizona Coyotes,3,1,W,,25,23,5,W 4,"4,600",2:41,
54,2/17/24,,Buffalo Sabres,2,3,L,OT,25,23,6,L 1,"19,276",2:33,
55,2/19/24,,Vancouver Canucks,10,7,W,,26,23,6,W 1,"19,024",2:37,
56,2/20/24,@,Winnipeg Jets,3,6,L,,26,24,6,L 1,"14,707",2:30,
57,2/23/24,@,Edmonton Oilers,4,2,W,,27,24,6,W 1,"18,347",2:28,
58,2/24/24,@,Seattle Kraken,5,2,W,,28,24,6,W 2,"17,151",2:36,
59,2/27/24,,Carolina Hurricanes,2,3,L,,28,25,6,L 1,"18,775",2:27,
60,2/29/24,@,Nashville Predators,1,6,L,,28,26,6,L 2,"17,159",2:33,
61,3/2/24,@,St. Louis Blues,1,3,L,,28,27,6,L 3,"18,096",2:25,
62,3/3/24,,San Jose Sharks,4,3,W,,29,27,6,W 1,"18,879",2:25,
63,3/7/24,@,Arizona Coyotes,5,2,W,,30,27,6,W 2,"4,600",2:37,
64,3/8/24,@,Colorado Avalanche,1,2,L,OT,30,27,7,L 1,"18,134",2:40,
65,3/10/24,,Nashville Predators,4,3,W,OT,31,27,7,W 1,"18,800",2:36,
66,3/12/24,,Arizona Coyotes,4,1,W,,32,27,7,W 2,"18,231",2:28,
67,3/14/24,,Anaheim Ducks,2,0,W,,33,27,7,W 3,"18,376",2:21,
68,3/16/24,@,St. Louis Blues,2,3,L,SO,33,27,8,L 1,"18,096",2:44,
69,3/19/24,@,Anaheim Ducks,4,0,W,,34,27,8,W 1,"16,239",2:22,
70,3/20/24,@,Los Angeles Kings,0,6,L,,34,28,8,L 1,"17,086",2:30,
71,3/23/24,,St. Louis Blues,4,5,L,OT,34,28,9,L 2,"19,090",2:37,
72,3/28/24,,San Jose Sharks,3,1,W,,35,28,9,W 1,"18,589",2:25,
73,3/30/24,,Vegas Golden Knights,1,2,L,OT,35,28,10,L 1,"19,178",2:33,No point for regulation tie for Minnesota (pulled goalie in OT).
74,4/2/24,,Ottawa Senators,3,2,W,,36,28,10,W 1,"18,056",2:27,
75,4/4/24,,Colorado Avalanche,2,5,L,,36,29,10,L 1,"18,803",2:34,
76,4/6/24,,Winnipeg Jets,2,4,L,,36,30,10,L 2,"18,989",2:21,
77,4/7/24,@,Chicago Blackhawks,4,0,W,,37,30,10,W 1,"19,636",2:22,
78,4/9/24,@,Colorado Avalanche,2,5,L,,37,31,10,L 1,"18,097",2:34,
79,4/12/24,@,Vegas Golden Knights,2,7,L,,37,32,10,L 2,"18,415",2:20,
80,4/13/24,@,San Jose Sharks,6,2,W,,38,32,10,W 1,"17,435",2:30,
81,4/15/24,@,Los Angeles Kings,3,1,W,,39,32,10,W 2,"17,654",2:21,
82,4/18/24,,Seattle Kraken,3,4,L,,39,33,10,L 1,"19,138",2:26,
