GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/9/24,,Toronto Maple Leafs,1,0,W,,1,0,0,W 1,"21,105",2:18,
2,10/10/24,@,Boston Bruins,4,6,L,,1,1,0,L 1,"17,850",2:44,
3,10/12/24,,Ottawa Senators,4,1,W,,2,1,0,W 1,"21,105",2:31,
4,10/14/24,,Pittsburgh Penguins,3,6,L,,2,2,0,L 1,"21,105",2:22,
5,10/17/24,,Los Angeles Kings,1,4,L,,2,3,0,L 2,"21,105",2:30,
6,10/19/24,@,New York Islanders,3,4,L,SO,2,3,1,L 3,"15,411",2:46,
7,10/22/24,,New York Rangers,2,7,L,,2,4,1,L 4,"21,105",2:28,
8,10/26/24,,St. Louis Blues,5,2,W,,3,4,1,W 1,"21,105",2:26,
9,10/27/24,@,Philadelphia Flyers,4,3,W,,4,4,1,W 2,"17,440",2:31,
10,10/29/24,,Seattle Kraken,2,8,L,,4,5,1,L 1,"21,105",2:37,
11,10/31/24,@,Washington Capitals,3,6,L,,4,6,1,L 2,"15,789",2:41,
12,11/2/24,@,Pittsburgh Penguins,1,3,L,,4,7,1,L 3,"17,362",2:27,
13,11/5/24,,Calgary Flames,2,3,L,OT,4,7,2,L 4,"21,105",2:34,
14,11/7/24,@,New Jersey Devils,3,5,L,,4,8,2,L 5,"16,514",2:25,
15,11/9/24,@,Toronto Maple Leafs,1,4,L,,4,9,2,L 6,"19,277",2:32,
16,11/11/24,@,Buffalo Sabres,7,5,W,,5,9,2,W 1,"15,687",2:35,
17,11/14/24,@,Minnesota Wild,0,3,L,,5,10,2,L 1,"17,012",2:25,
18,11/16/24,,Columbus Blue Jackets,5,1,W,,6,10,2,W 1,"21,105",2:24,
19,11/18/24,,Edmonton Oilers,3,0,W,,7,10,2,W 2,"21,105",2:19,
20,11/23/24,,Vegas Golden Knights,2,6,L,,7,11,2,L 1,"21,105",2:25,
21,11/26/24,,Utah Hockey Club,2,3,L,OT,7,11,3,L 2,"21,105",2:30,
22,11/27/24,@,Columbus Blue Jackets,4,3,W,OT,8,11,3,W 1,"15,485",2:33,
23,11/30/24,@,New York Rangers,3,4,L,,8,12,3,L 1,"18,006",2:47,
24,12/1/24,@,Boston Bruins,3,6,L,,8,13,3,L 2,"17,850",2:33,
25,12/3/24,,New York Islanders,2,1,W,OT,9,13,3,W 1,"21,105",2:25,
26,12/5/24,,Nashville Predators,3,0,W,,10,13,3,W 2,"21,105",2:29,
27,12/7/24,,Washington Capitals,2,4,L,,10,14,3,L 1,"21,105",2:29,
28,12/9/24,,Anaheim Ducks,3,2,W,SO,11,14,3,W 1,"21,105",2:39,
29,12/12/24,,Pittsburgh Penguins,2,9,L,,11,15,3,L 1,"21,105",2:23,
30,12/14/24,@,Winnipeg Jets,2,4,L,,11,16,3,L 2,"15,225",2:28,
31,12/17/24,,Buffalo Sabres,6,1,W,,12,16,3,W 1,"21,105",2:30,
32,12/20/24,@,Detroit Red Wings,4,3,W,,13,16,3,W 2,"19,515",2:31,
33,12/21/24,,Detroit Red Wings,5,1,W,,14,16,3,W 3,"21,105",2:23,
34,12/23/24,@,Columbus Blue Jackets,4,5,L,,14,17,3,L 1,"17,875",2:37,
35,12/28/24,@,Florida Panthers,4,0,W,,15,17,3,W 1,"19,483",2:23,
36,12/29/24,@,Tampa Bay Lightning,5,2,W,,16,17,3,W 2,"19,092",2:32,
37,12/31/24,@,Vegas Golden Knights,3,2,W,,17,17,3,W 3,"17,925",2:23,
38,1/3/25,@,Chicago Blackhawks,2,4,L,,17,18,3,L 1,"19,620",2:25,
39,1/4/25,@,Colorado Avalanche,2,1,W,SO,18,18,3,W 1,"18,087",2:38,
40,1/6/25,,Vancouver Canucks,5,4,W,OT,19,18,3,W 2,"21,105",2:26,
41,1/10/25,@,Washington Capitals,3,2,W,OT,20,18,3,W 3,"18,573",2:30,
42,1/11/25,,Dallas Stars,1,2,L,SO,20,18,4,L 1,"21,105",2:45,
43,1/14/25,@,Utah Hockey Club,5,3,W,,21,18,4,W 1,"11,131",2:36,
44,1/16/25,@,Dallas Stars,3,1,W,,22,18,4,W 2,"18,532",2:30,
45,1/18/25,,Toronto Maple Leafs,3,7,L,,22,19,4,L 1,"21,105",2:39,
46,1/19/25,,New York Rangers,5,4,W,OT,23,19,4,W 1,"21,105",2:42,
47,1/21/25,,Tampa Bay Lightning,3,2,W,,24,19,4,W 2,"21,105",2:30,
48,1/23/25,@,Detroit Red Wings,2,4,L,,24,20,4,L 1,"18,825",2:30,
49,1/25/25,,New Jersey Devils,3,4,L,OT,24,20,5,L 2,"21,105",2:47,
50,1/28/25,,Winnipeg Jets,1,4,L,,24,21,5,L 3,"21,105",2:28,
51,1/30/25,,Minnesota Wild,0,4,L,,24,22,5,L 4,"21,105",2:16,
52,2/2/25,@,Anaheim Ducks,2,3,L,,24,23,5,L 5,"17,174",2:28,
53,2/4/25,@,San Jose Sharks,4,3,W,,25,23,5,W 1,"11,215",2:31,
54,2/5/25,@,Los Angeles Kings,3,6,L,,25,24,5,L 1,"15,584",2:32,
55,2/8/25,,New Jersey Devils,0,4,L,,25,25,5,L 2,"21,105",2:30,
56,2/9/25,,Tampa Bay Lightning,3,5,L,,25,26,5,L 3,"21,105",2:37,
57,2/22/25,@,Ottawa Senators,5,2,W,,26,26,5,W 1,"18,840",2:36,
58,2/25/25,,Carolina Hurricanes,4,0,W,,27,26,5,W 2,"21,105",2:21,
59,2/27/25,,San Jose Sharks,4,3,W,OT,28,26,5,W 3,"21,105",2:36,
60,3/1/25,@,Buffalo Sabres,4,2,W,,29,26,5,W 4,"18,361",2:36,
61,3/3/25,,Buffalo Sabres,4,3,W,OT,30,26,5,W 5,"21,105",2:37,
62,3/6/25,@,Edmonton Oilers,2,3,L,OT,30,26,6,L 1,"18,347",2:30,
63,3/8/25,@,Calgary Flames,0,1,L,,30,27,6,L 2,"19,243",2:26,
64,3/11/25,@,Vancouver Canucks,4,2,W,,31,27,6,W 1,"18,886",2:39,
65,3/12/25,@,Seattle Kraken,4,5,L,OT,31,27,7,L 1,"17,151",2:33,
66,3/15/25,,Florida Panthers,3,1,W,,32,27,7,W 1,"21,105",2:34,
67,3/18/25,,Ottawa Senators,6,3,W,,33,27,7,W 2,"21,105",2:30,
68,3/20/25,@,New York Islanders,3,4,L,OT,33,27,8,L 1,"15,218",2:51,
69,3/22/25,,Colorado Avalanche,4,5,L,SO,33,27,9,L 2,"21,105",2:52,
70,3/25/25,@,St. Louis Blues,1,6,L,,33,28,9,L 3,"18,096",2:30,
71,3/27/25,@,Philadelphia Flyers,4,6,L,,33,29,9,L 4,"19,284",2:36,
72,3/28/25,@,Carolina Hurricanes,1,4,L,,33,30,9,L 5,"18,795",2:34,
73,3/30/25,@,Florida Panthers,4,2,W,,34,30,9,W 1,"19,432",2:28,
74,4/1/25,,Florida Panthers,3,2,W,OT,35,30,9,W 2,"21,105",2:32,
75,4/3/25,,Boston Bruins,4,1,W,,36,30,9,W 3,"21,105",2:33,
76,4/5/25,,Philadelphia Flyers,3,2,W,,37,30,9,W 4,"21,105",2:27,
77,4/6/25,@,Nashville Predators,2,1,W,,38,30,9,W 5,"17,183",2:29,
78,4/8/25,,Detroit Red Wings,4,1,W,,39,30,9,W 6,"21,105",2:33,
79,4/11/25,@,Ottawa Senators,2,5,L,,39,31,9,L 1,"18,685",2:35,
80,4/12/25,@,Toronto Maple Leafs,0,1,L,OT,39,31,10,L 2,"19,252",2:31,
81,4/14/25,,Chicago Blackhawks,3,4,L,SO,39,31,11,L 3,"21,105",2:35,
82,4/16/25,,Carolina Hurricanes,4,2,W,,40,31,11,W 1,"21,105",2:33,
