GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/8/25,7:00 PM,@,Toronto Maple Leafs,2,5,L,,0,1,0,L 1,19037,2:25,
2,10/9/25,7:00 PM,@,Detroit Red Wings,5,1,W,,1,1,0,W 1,19515,2:18,
3,10/11/25,7:00 PM,@,Chicago Blackhawks,3,2,W,,2,1,0,W 2,19344,2:37,
4,10/14/25,7:00 PM,,Seattle Kraken,5,4,W,OT,3,1,0,W 3,20962,2:39,
5,10/16/25,7:00 PM,,Nashville Predators,3,2,W,OT,4,1,0,W 4,20962,2:30,
6,10/18/25,7:00 PM,,New York Rangers,3,4,L,,4,2,0,L 1,20962,2:33,
7,10/20/25,7:30 PM,,Buffalo Sabres,4,2,W,,5,2,0,W 1,20962,2:32,
8,10/22/25,8:30 PM,@,Calgary Flames,2,1,W,OT,6,2,0,W 2,17826,2:39,
9,10/23/25,9:00 PM,@,Edmonton Oilers,5,6,L,,6,3,0,L 1,18347,2:31,
10,10/25/25,7:00 PM,@,Vancouver Canucks,4,3,W,,7,3,0,W 1,18846,2:32,
11,10/28/25,10:30 PM,@,Seattle Kraken,4,3,W,OT,8,3,0,W 2,17151,2:27,
12,11/1/25,7:00 PM,,Ottawa Senators,4,3,W,OT,9,3,0,W 3,20962,2:35,
13,11/4/25,7:00 PM,,Philadelphia Flyers,4,5,L,SO,9,3,1,L 1,20962,2:46,
14,11/6/25,7:00 PM,@,New Jersey Devils,3,4,L,OT,9,3,2,L 2,16514,2:20,
15,11/8/25,7:00 PM,,Utah Mammoth,6,2,W,,10,3,2,W 1,20962,2:28,
16,11/11/25,7:00 PM,,Los Angeles Kings,1,5,L,,10,4,2,L 1,20962,2:26,
17,11/13/25,7:00 PM,,Dallas Stars,0,7,L,,10,5,2,L 2,20962,2:16,
18,11/15/25,7:00 PM,,Boston Bruins,2,3,L,,10,6,2,L 3,20962,2:36,
19,11/17/25,7:30 PM,@,Columbus Blue Jackets,3,4,L,SO,10,6,3,L 4,14811,2:36,
20,11/20/25,7:00 PM,,Washington Capitals,4,8,L,,10,7,3,L 5,20962,2:38,
21,11/22/25,7:00 PM,,Toronto Maple Leafs,5,2,W,,11,7,3,W 1,20962,2:37,
22,11/26/25,9:30 PM,@,Utah Mammoth,4,3,W,,12,7,3,W 2,12478,2:35,
23,11/28/25,4:00 PM,@,Vegas Golden Knights,4,1,W,,13,7,3,W 3,17739,2:27,
24,11/29/25,3:00 PM,@,Colorado Avalanche,2,7,L,,13,8,3,L 1,18112,2:32,
25,12/2/25,7:00 PM,,Ottawa Senators,2,5,L,,13,9,3,L 2,20962,2:30,
26,12/3/25,7:30 PM,,Winnipeg Jets,3,2,W,SO,14,9,3,W 1,20962,2:43,
27,12/6/25,7:00 PM,@,Toronto Maple Leafs,2,1,W,SO,15,9,3,W 2,19081,2:45,
28,12/7/25,7:00 PM,,St. Louis Blues,3,4,L,,15,10,3,L 1,20962,2:26,
29,12/9/25,7:00 PM,,Tampa Bay Lightning,1,6,L,,15,11,3,L 2,20962,2:25,
30,12/11/25,7:30 PM,@,Pittsburgh Penguins,4,2,W,,16,11,3,W 1,14845,2:32,
31,12/13/25,7:00 PM,@,New York Rangers,4,5,L,OT,16,11,4,L 1,18006,2:35,
32,12/14/25,7:00 PM,,Edmonton Oilers,4,1,W,,17,11,4,W 1,20962,2:32,
33,12/16/25,7:00 PM,,Philadelphia Flyers,1,4,L,,17,12,4,L 1,20962,2:33,
