GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/9/24,@,Pittsburgh Penguins,6,0,W,,1,0,0,W 1,"18,190",2:29,
2,10/12/24,,Utah Hockey Club,5,6,L,OT,1,0,1,L 1,"18,006",2:45,
3,10/14/24,,Detroit Red Wings,4,1,W,,2,0,1,W 1,"17,510",2:35,
4,10/17/24,@,Detroit Red Wings,5,2,W,,3,0,1,W 2,"19,515",2:33,
5,10/19/24,@,Toronto Maple Leafs,4,1,W,,4,0,1,W 3,"18,988",2:24,
6,10/22/24,@,Montreal Canadiens,7,2,W,,5,0,1,W 4,"21,105",2:28,
7,10/24/24,,Florida Panthers,1,3,L,,5,1,1,L 1,"18,006",2:23,
8,10/26/24,,Anaheim Ducks,2,1,W,,6,1,1,W 1,"18,006",2:32,
9,10/29/24,@,Washington Capitals,3,5,L,,6,2,1,L 1,"17,390",2:31,
10,11/1/24,,Ottawa Senators,2,1,W,,7,2,1,W 1,"18,006",2:29,
11,11/3/24,,New York Islanders,5,2,W,,8,2,1,W 2,"18,006",2:32,
12,11/7/24,,Buffalo Sabres,1,6,L,,8,3,1,L 1,"18,006",2:28,
13,11/9/24,@,Detroit Red Wings,4,0,W,,9,3,1,W 1,"19,515",2:32,
14,11/12/24,,Winnipeg Jets,3,6,L,,9,4,1,L 1,"18,006",2:25,
15,11/14/24,,San Jose Sharks,3,2,W,,10,4,1,W 1,"18,006",2:26,
16,11/17/24,@,Seattle Kraken,2,0,W,,11,4,1,W 2,"17,151",2:17,
17,11/19/24,@,Vancouver Canucks,4,3,W,,12,4,1,W 3,"18,688",2:34,
18,11/21/24,@,Calgary Flames,2,3,L,,12,5,1,L 1,"17,033",2:33,
19,11/23/24,@,Edmonton Oilers,2,6,L,,12,6,1,L 2,"18,347",2:22,
20,11/25/24,,St. Louis Blues,2,5,L,,12,7,1,L 3,"18,006",2:23,
21,11/27/24,@,Carolina Hurricanes,3,4,L,,12,8,1,L 4,"18,905",2:24,
22,11/29/24,@,Philadelphia Flyers,1,3,L,,12,9,1,L 5,"19,346",2:24,
23,11/30/24,,Montreal Canadiens,4,3,W,,13,9,1,W 1,"18,006",2:47,
24,12/2/24,,New Jersey Devils,1,5,L,,13,10,1,L 1,"18,006",2:32,
