GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/7/25,8:00 PM,,Pittsburgh Penguins,0,3,L,,0,1,0,L 1,"18,006",2:16,
2,10/9/25,7:00 PM,@,Buffalo Sabres,4,0,W,,1,1,0,W 1,"19,070",2:29,
3,10/11/25,7:00 PM,@,Pittsburgh Penguins,6,1,W,,2,1,0,W 2,"16,716",2:26,
4,10/12/25,7:00 PM,,Washington Capitals,0,1,L,,2,2,0,L 1,"17,479",2:26,
5,10/14/25,7:00 PM,,Edmonton Oilers,0,2,L,,2,3,0,L 2,"16,497",2:19,
6,10/16/25,7:00 PM,@,Toronto Maple Leafs,1,2,L,OT,2,3,1,L 3,"18,267",2:28,
7,10/18/25,7:00 PM,@,Montreal Canadiens,4,3,W,,3,3,1,W 1,"20,962",2:33,
8,10/20/25,7:00 PM,,Minnesota Wild,1,3,L,,3,4,1,L 1,"18,006",2:33,
9,10/23/25,7:00 PM,,San Jose Sharks,5,6,L,OT,3,4,2,L 2,"18,006",2:37,
10,10/26/25,8:00 PM,@,Calgary Flames,1,5,L,,3,5,2,L 3,"17,196",2:23,
11,10/28/25,10:00 PM,@,Vancouver Canucks,2,0,W,,4,5,2,W 1,"18,919",2:23,
12,10/30/25,9:00 PM,@,Edmonton Oilers,4,3,W,OT,5,5,2,W 2,"17,787",2:32,
13,11/1/25,10:00 PM,@,Seattle Kraken,3,2,W,OT,6,5,2,W 3,"17,151",2:39,
14,11/4/25,7:00 PM,,Carolina Hurricanes,0,3,L,,6,6,2,L 1,"17,147",2:27,
15,11/7/25,7:00 PM,@,Detroit Red Wings,4,1,W,,7,6,2,W 1,"19,515",2:32,
16,11/8/25,7:00 PM,,New York Islanders,0,5,L,,7,7,2,L 1,"18,006",2:27,
17,11/10/25,7:00 PM,,Nashville Predators,6,3,W,,8,7,2,W 1,"18,006",2:31,
18,11/12/25,7:00 PM,@,Tampa Bay Lightning,7,3,W,,9,7,2,W 2,"19,092",2:33,
19,11/15/25,7:00 PM,@,Columbus Blue Jackets,2,1,W,SO,10,7,2,W 3,"16,298",2:48,
20,11/16/25,7:00 PM,,Detroit Red Wings,1,2,L,,10,8,2,L 1,"18,006",2:29,
21,11/18/25,10:00 PM,@,Vegas Golden Knights,2,3,L,,10,9,2,L 2,"18,008",2:29,
22,11/20/25,9:00 PM,@,Colorado Avalanche,3,6,L,,10,10,2,L 3,"18,080",2:30,
23,11/22/25,9:00 PM,@,Utah Mammoth,2,3,L,,10,11,2,L 4,"12,478",2:32,
24,11/24/25,7:00 PM,,St. Louis Blues,3,2,W,,11,11,2,W 1,"18,006",2:30,
25,11/26/25,7:00 PM,@,Carolina Hurricanes,4,2,W,,12,11,2,W 2,"18,299",2:32,
26,11/28/25,1:00 PM,@,Boston Bruins,6,2,W,,13,11,2,W 3,"17,850",2:29,
27,11/29/25,2:00 PM,,Tampa Bay Lightning,1,4,L,,13,12,2,L 1,"18,006",2:21,
28,12/2/25,7:00 PM,,Dallas Stars,3,2,W,OT,14,12,2,W 1,"16,950",2:36,
29,12/4/25,7:00 PM,@,Ottawa Senators,4,2,W,,15,12,2,W 2,"15,533",2:27,
30,12/6/25,12:30 PM,,Colorado Avalanche,2,3,L,OT,15,12,3,L 1,"17,647",2:39,
31,12/7/25,7:00 PM,,Vegas Golden Knights,2,3,L,OT,15,12,4,L 2,"17,486",2:36,
32,12/10/25,7:30 PM,@,Chicago Blackhawks,0,3,L,,15,13,4,L 3,"19,709",2:25,
33,12/13/25,7:00 PM,,Montreal Canadiens,5,4,W,OT,16,13,4,W 1,"18,006",2:35,
34,12/15/25,7:00 PM,,Anaheim Ducks,1,4,L,,16,14,4,L 1,"18,006",2:24,
