GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/10/24,,Florida Panthers,3,1,W,,1,0,0,W 1,"19,346",2:22,
2,10/12/24,@,Montreal Canadiens,1,4,L,,1,1,0,L 1,"21,105",2:31,
3,10/14/24,,Los Angeles Kings,8,7,W,OT,2,1,0,W 1,"16,788",2:49,
4,10/17/24,,New Jersey Devils,1,3,L,,2,2,0,L 1,"15,192",2:21,
5,10/19/24,,Tampa Bay Lightning,5,4,W,,3,2,0,W 1,"16,188",2:34,
6,10/22/24,@,Utah Hockey Club,4,0,W,,4,2,0,W 2,"11,131",2:27,
7,10/25/24,@,Vegas Golden Knights,4,6,L,,4,3,0,L 1,"17,564",2:37,
8,10/27/24,@,Colorado Avalanche,4,5,L,,4,4,0,L 2,"18,020",2:33,
9,10/29/24,,St. Louis Blues,8,1,W,,5,4,0,W 1,"15,784",2:29,
10,11/1/24,@,New York Rangers,1,2,L,,5,5,0,L 1,"18,006",2:29,
11,11/2/24,,Seattle Kraken,3,0,W,,6,5,0,W 1,"17,274",2:24,
12,11/5/24,@,Buffalo Sabres,1,5,L,,6,6,0,L 1,"12,260",2:36,
13,11/7/24,,New York Islanders,2,4,L,,6,7,0,L 2,"15,677",2:26,
14,11/9/24,@,Boston Bruins,3,2,W,OT,7,7,0,W 1,"17,850",2:32,
15,11/12/24,@,Toronto Maple Leafs,3,0,W,,8,7,0,W 2,"18,648",2:33,
16,11/14/24,,Philadelphia Flyers,4,5,L,OT,8,7,1,L 1,"17,162",2:34,
17,11/16/24,@,Carolina Hurricanes,0,4,L,,8,8,1,L 2,"18,808",2:30,
18,11/19/24,,Edmonton Oilers,2,5,L,,8,9,1,L 3,"18,676",2:30,
19,11/21/24,,Vegas Golden Knights,2,3,L,,8,10,1,L 4,"16,822",2:32,
20,11/23/24,,Vancouver Canucks,3,4,L,,8,11,1,L 5,"18,995",2:34,
21,11/25/24,,Calgary Flames,4,3,W,,9,11,1,W 1,"17,196",2:40,
22,11/27/24,@,San Jose Sharks,4,3,W,,10,11,1,W 2,"10,778",2:23,
23,11/30/24,@,Los Angeles Kings,2,5,L,,10,12,1,L 1,"16,808",2:24,
24,12/1/24,@,Anaheim Ducks,3,4,L,SO,10,12,2,L 2,"15,144",2:39,
25,12/5/24,,Detroit Red Wings,2,1,W,,11,12,2,W 1,"16,739",2:37,
26,12/7/24,,Nashville Predators,3,1,W,,12,12,2,W 2,"16,741",2:37,
27,12/8/24,,New York Islanders,2,4,L,,12,13,2,L 1,"15,878",2:23,
28,12/11/24,,Anaheim Ducks,5,1,W,,13,13,2,W 1,"16,893",2:31,
29,12/13/24,@,Carolina Hurricanes,3,0,W,,14,13,2,W 2,"18,700",2:31,
30,12/14/24,,Pittsburgh Penguins,3,2,W,OT,15,13,2,W 3,"18,892",2:25,
31,12/17/24,@,Seattle Kraken,3,0,W,,16,13,2,W 4,"17,151",2:23,
32,12/19/24,@,Calgary Flames,3,2,W,OT,17,13,2,W 5,"17,271",2:35,
33,12/21/24,@,Vancouver Canucks,5,4,W,OT,18,13,2,W 6,"18,940",2:30,
34,12/22/24,@,Edmonton Oilers,1,3,L,,18,14,2,L 1,"18,347",2:22,
35,12/28/24,@,Winnipeg Jets,2,4,L,,18,15,2,L 2,"14,734",2:21,
36,12/29/24,@,Minnesota Wild,3,1,W,,19,15,2,W 1,"18,989",2:31,
37,1/2/25,@,Dallas Stars,2,4,L,,19,16,2,L 1,"18,532",2:31,
38,1/3/25,@,St. Louis Blues,0,4,L,,19,17,2,L 2,"18,096",2:26,
39,1/7/25,@,Detroit Red Wings,2,3,L,OT,19,17,3,L 3,"19,515",2:33,
40,1/9/25,,Buffalo Sabres,0,4,L,,19,18,3,L 4,"16,276",2:29,
41,1/11/25,@,Pittsburgh Penguins,5,0,W,,20,18,3,W 1,"18,043",2:29,
42,1/12/25,,Dallas Stars,3,2,W,,21,18,3,W 2,"17,653",2:31,
43,1/14/25,@,New York Islanders,2,0,W,,22,18,3,W 3,"15,101",2:33,
44,1/16/25,,Washington Capitals,0,1,L,OT,22,18,4,L 1,"17,242",2:23,
45,1/18/25,,Boston Bruins,6,5,W,SO,23,18,4,W 1,"18,768",2:56,
46,1/19/25,@,New Jersey Devils,2,1,W,,24,18,4,W 2,"16,514",2:18,
47,1/21/25,@,New York Rangers,0,5,L,,24,19,4,L 1,"17,662",2:32,
48,1/23/25,@,Boston Bruins,0,2,L,,24,20,4,L 2,"17,850",2:27,
49,1/25/25,,Toronto Maple Leafs,2,1,W,,25,20,4,W 1,"18,818",2:28,
50,1/26/25,,Utah Hockey Club,3,1,W,,26,20,4,W 2,"16,897",2:25,
51,1/30/25,,Washington Capitals,5,4,W,OT,27,20,4,W 3,"18,792",2:35,
52,2/1/25,,Minnesota Wild,6,0,W,,28,20,4,W 4,"18,822",2:35,
53,2/3/25,@,Nashville Predators,5,2,W,,29,20,4,W 5,"17,159",2:39,
54,2/4/25,@,Tampa Bay Lightning,3,4,L,,29,21,4,L 1,"19,092",2:30,
55,2/6/25,@,Tampa Bay Lightning,1,5,L,,29,22,4,L 2,"19,092",2:32,
56,2/8/25,@,Florida Panthers,1,5,L,,29,23,4,L 3,"19,660",2:26,
