GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/9/25,7:00 PM,@,Tampa Bay Lightning,5,4,W,,1,0,0,W 1,"19,092",2:39,
2,10/11/25,7:00 PM,@,Florida Panthers,2,6,L,,1,1,0,L 1,"19,704",2:32,
3,10/13/25,1:00 PM,,Nashville Predators,1,4,L,,1,2,0,L 2,"18,500",2:49,
4,10/15/25,7:00 PM,@,Buffalo Sabres,4,8,L,,1,3,0,L 3,"13,993",2:33,
5,10/16/25,7:00 PM,,Seattle Kraken,4,3,W,SO,2,3,0,W 1,"15,736",2:38,
6,10/18/25,3:00 PM,,New York Islanders,4,5,L,,2,4,0,L 1,"15,929",2:28,
7,10/21/25,7:00 PM,,Edmonton Oilers,2,3,L,OT,2,4,1,L 2,"17,436",2:26,
8,10/23/25,7:00 PM,,Philadelphia Flyers,2,1,W,,3,4,1,W 1,"16,380",2:23,
9,10/25/25,7:00 PM,@,Washington Capitals,7,1,W,,4,4,1,W 2,"18,347",2:48,
10,10/27/25,7:30 PM,,Boston Bruins,7,2,W,,5,4,1,W 3,"16,168",2:35,
11,10/28/25,8:45 PM,@,Chicago Blackhawks,3,7,L,,5,5,1,L 1,"15,100",2:43,
12,10/30/25,7:00 PM,,Calgary Flames,4,3,W,SO,6,5,1,W 1,"16,790",2:45,
13,11/1/25,7:00 PM,@,Montreal Canadiens,3,4,L,OT,6,5,2,L 1,"20,962",2:35,
14,11/6/25,7:00 PM,@,Boston Bruins,2,3,L,OT,6,5,3,L 2,"17,850",2:38,
15,11/8/25,1:00 PM,@,Philadelphia Flyers,3,2,W,OT,7,5,3,W 1,"18,188",2:33,
16,11/9/25,7:00 PM,,Utah Mammoth,4,2,W,,8,5,3,W 2,"17,470",2:32,
17,11/11/25,7:00 PM,,Dallas Stars,2,3,L,OT,8,5,4,L 1,"16,542",2:25,
18,11/13/25,7:00 PM,,Boston Bruins,5,3,W,,9,5,4,W 1,"16,049",2:23,
19,11/15/25,7:00 PM,,Los Angeles Kings,0,1,L,,9,6,4,L 1,"17,772",2:16,
20,11/20/25,10:00 PM,@,Anaheim Ducks,3,2,W,,10,6,4,W 1,"14,564",2:28,
21,11/22/25,7:00 PM,@,San Jose Sharks,3,2,W,,11,6,4,W 2,"17,435",2:29,
22,11/24/25,9:00 PM,@,Los Angeles Kings,1,2,L,,11,7,4,L 1,"17,421",2:27,
23,11/26/25,10:00 PM,@,Vegas Golden Knights,4,3,W,SO,12,7,4,W 1,"17,791",2:49,
24,11/28/25,4:00 PM,@,St. Louis Blues,3,4,L,,12,8,4,L 1,"18,096",2:30,
25,11/30/25,6:00 PM,@,Dallas Stars,1,6,L,,12,9,4,L 2,"18,532",2:31,
26,12/2/25,7:00 PM,@,Montreal Canadiens,5,2,W,,13,9,4,W 1,"20,962",2:30,
27,12/4/25,7:00 PM,,New York Rangers,2,4,L,,13,10,4,L 1,"15,533",2:27,
28,12/6/25,7:00 PM,,St. Louis Blues,1,2,L,,13,11,4,L 2,"16,064",2:40,
29,12/9/25,7:00 PM,,New Jersey Devils,3,4,L,,13,12,4,L 3,"16,159",2:37,
30,12/11/25,7:00 PM,@,Columbus Blue Jackets,6,3,W,,14,12,4,W 1,"15,059",2:32,
31,12/13/25,2:00 PM,@,Minnesota Wild,2,3,L,,14,13,4,L 1,"18,058",2:39,
32,12/15/25,7:30 PM,@,Winnipeg Jets,3,2,W,OT,15,13,4,W 1,"13,566",2:24,
33,12/18/25,7:00 PM,,Pittsburgh Penguins,4,0,W,,16,13,4,W 2,"17,260",2:25,
34,12/20/25,3:00 PM,,Chicago Blackhawks,6,4,W,,17,13,4,W 3,"18,254",2:42,
35,12/21/25,7:00 PM,@,Boston Bruins,6,2,W,,18,13,4,W 4,"17,850",2:38,
36,12/23/25,7:00 PM,,Buffalo Sabres,2,3,L,OT,18,13,5,L 1,"17,753",2:33,
37,12/27/25,7:00 PM,@,Toronto Maple Leafs,5,7,L,,18,14,5,L 2,"18,859",2:34,
38,12/29/25,7:30 PM,,Columbus Blue Jackets,1,4,L,,18,15,5,L 3,"17,902",2:24,
39,1/1/26,1:00 PM,,Washington Capitals,4,3,W,,19,15,5,W 1,"18,433",2:32,
40,1/3/26,7:00 PM,,Winnipeg Jets,4,2,W,,20,15,5,W 2,"16,872",2:27,
41,1/5/26,7:30 PM,,Detroit Red Wings,3,5,L,,20,16,5,L 1,"16,981",2:44,
42,1/7/26,9:30 PM,@,Utah Mammoth,1,3,L,,20,17,5,L 2,"12,478",2:36,
43,1/8/26,9:00 PM,@,Colorado Avalanche,2,8,L,,20,18,5,L 3,"18,092",2:32,
44,1/10/26,7:00 PM,,Florida Panthers,2,3,L,,20,19,5,L 4,"17,085",2:36,
45,1/13/26,7:00 PM,,Vancouver Canucks,2,1,W,,21,19,5,W 1,"15,801",2:19,
46,1/14/26,7:30 PM,@,New York Rangers,8,4,W,,22,19,5,W 2,"17,776",2:25,
47,1/17/26,7:00 PM,,Montreal Canadiens,5,6,L,OT,22,19,6,L 1,"18,020",2:38,
48,1/18/26,5:00 PM,@,Detroit Red Wings,3,4,L,OT,22,19,7,L 2,"19,515",2:32,
49,1/20/26,7:00 PM,@,Columbus Blue Jackets,4,1,W,,23,19,7,W 1,"13,278",2:26,
50,1/22/26,8:00 PM,@,Nashville Predators,3,5,L,,23,20,7,L 1,"17,159",2:32,
51,1/24/26,7:00 PM,,Carolina Hurricanes,1,4,L,,23,21,7,L 2,"17,155",2:25,
52,1/25/26,5:00 PM,,Vegas Golden Knights,7,1,W,,24,21,7,W 1,"17,025",2:25,
53,1/28/26,7:30 PM,,Colorado Avalanche,5,2,W,,25,21,7,W 2,"17,007",2:23,
54,1/31/26,7:00 PM,,New Jersey Devils,4,1,W,,26,21,7,W 3,"18,319",2:36,
55,2/2/26,7:00 PM,@,Pittsburgh Penguins,3,2,W,,27,21,7,W 4,"17,967",2:28,
56,2/3/26,7:00 PM,@,Carolina Hurricanes,3,4,L,,27,22,7,L 1,"18,299",2:30,
57,2/5/26,7:00 PM,@,Philadelphia Flyers,2,1,W,OT,28,22,7,W 1,"19,220",2:22,
58,2/26/26,7:00 PM,,Detroit Red Wings,1,2,L,OT,28,22,8,L 1,"17,190",2:41,
59,2/28/26,7:00 PM,@,Toronto Maple Leafs,5,2,W,,29,22,8,W 1,"18,952",2:33,
60,3/3/26,9:00 PM,@,Edmonton Oilers,4,5,L,OT,29,22,9,L 1,"18,347",2:26,
61,3/5/26,9:00 PM,@,Calgary Flames,4,1,W,,30,22,9,W 1,"17,195",2:26,
62,3/7/26,10:00 PM,@,Seattle Kraken,7,4,W,,31,22,9,W 2,"17,151",2:36,
63,3/9/26,9:00 PM,@,Vancouver Canucks,2,0,W,,32,22,9,W 3,"18,228",2:19,
64,3/11/26,7:30 PM,,Montreal Canadiens,2,3,L,,32,23,9,L 1,"17,229",2:32,
65,3/14/26,1:00 PM,,Anaheim Ducks,2,0,W,,33,23,9,W 1,"18,381",2:28,
66,3/15/26,5:00 PM,,San Jose Sharks,7,4,W,,34,23,9,W 2,"18,764",2:21,
67,3/18/26,7:30 PM,@,Washington Capitals,1,4,L,,34,24,9,L 1,"18,347",2:27,
