GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/9/25,10:00 PM,,Anaheim Ducks,3,1,W,,1,0,0,W 1,"17,151",2:36,
2,10/11/25,10:00 PM,,Vegas Golden Knights,2,1,W,OT,2,0,0,W 2,"17,151",2:41,
3,10/14/25,7:00 PM,@,Montreal Canadiens,4,5,L,OT,2,0,1,L 1,"20,962",2:39,
4,10/16/25,7:00 PM,@,Ottawa Senators,3,4,L,SO,2,0,2,L 2,"15,736",2:38,
5,10/18/25,7:00 PM,@,Toronto Maple Leafs,4,3,W,OT,3,0,2,W 1,"18,589",2:37,
6,10/20/25,7:00 PM,@,Philadelphia Flyers,2,5,L,,3,1,2,L 1,"16,099",2:35,
7,10/21/25,7:00 PM,@,Washington Capitals,1,4,L,,3,2,2,L 2,"16,578",2:26,
8,10/23/25,8:00 PM,@,Winnipeg Jets,3,0,W,,4,2,2,W 1,"13,690",2:29,
9,10/25/25,10:00 PM,,Edmonton Oilers,3,2,W,,5,2,2,W 2,"17,151",2:28,
10,10/28/25,10:30 PM,,Montreal Canadiens,3,4,L,OT,5,2,3,L 1,"17,151",2:27,
11,11/1/25,10:00 PM,,New York Rangers,2,3,L,OT,5,2,4,L 2,"17,151",2:39,
12,11/3/25,10:00 PM,,Chicago Blackhawks,3,1,W,,6,2,4,W 1,"17,151",2:26,
13,11/5/25,10:00 PM,,San Jose Sharks,1,6,L,,6,3,4,L 1,"17,151",2:20,
14,11/8/25,7:00 PM,@,St. Louis Blues,4,3,W,OT,7,3,4,W 1,"18,096",2:33,
15,11/9/25,7:00 PM,@,Dallas Stars,1,2,L,,7,4,4,L 1,"18,532",2:22,
16,11/11/25,10:00 PM,,Columbus Blue Jackets,1,2,L,SO,7,4,5,L 2,"17,151",2:46,
17,11/13/25,10:00 PM,,Winnipeg Jets,5,3,W,,8,4,5,W 1,"17,151",2:32,
18,11/15/25,10:00 PM,,San Jose Sharks,4,1,W,,9,4,5,W 2,"17,151",2:29,
19,11/18/25,7:00 PM,@,Detroit Red Wings,2,4,L,,9,5,5,L 1,"19,515",2:37,
20,11/20/25,8:00 PM,@,Chicago Blackhawks,3,2,W,,10,5,5,W 1,"18,170",2:24,
21,11/22/25,7:00 PM,@,Pittsburgh Penguins,3,2,W,OT,11,5,5,W 2,"17,783",2:29,
22,11/23/25,5:00 PM,@,New York Islanders,0,1,L,SO,11,5,6,L 1,"17,255",2:35,
23,11/26/25,10:00 PM,,Dallas Stars,2,3,L,,11,6,6,L 2,"17,151",2:24,
24,11/29/25,4:00 PM,,Edmonton Oilers,0,4,L,,11,7,6,L 3,"17,151",2:30,
25,12/4/25,9:00 PM,@,Edmonton Oilers,4,9,L,,11,8,6,L 4,"17,496",2:31,
26,12/6/25,10:00 PM,,Detroit Red Wings,3,4,L,,11,9,6,L 5,"17,151",2:34,
27,12/8/25,10:00 PM,,Minnesota Wild,1,4,L,,11,10,6,L 6,"17,151",2:28,
28,12/10/25,10:00 PM,,Los Angeles Kings,3,2,W,OT,12,10,6,W 1,"17,151",2:39,
29,12/12/25,9:00 PM,@,Utah Mammoth,3,5,L,,12,11,6,L 1,"12,478",2:39,
30,12/14/25,8:00 PM,,Buffalo Sabres,1,3,L,,12,12,6,L 2,"17,151",2:19,
31,12/16/25,10:00 PM,,Colorado Avalanche,3,5,L,,12,13,6,L 3,"17,151",2:41,
32,12/18/25,9:00 PM,@,Calgary Flames,2,4,L,,12,14,6,L 4,"17,449",2:30,
33,12/20/25,10:00 PM,@,San Jose Sharks,4,2,W,,13,14,6,W 1,"17,435",2:24,
34,12/22/25,10:00 PM,@,Anaheim Ducks,3,1,W,,14,14,6,W 2,"16,214",2:36,
35,12/23/25,10:00 PM,@,Los Angeles Kings,3,2,W,,15,14,6,W 3,"18,143",2:33,
36,12/28/25,8:00 PM,,Philadelphia Flyers,4,1,W,,16,14,6,W 4,"17,151",2:22,
37,12/29/25,10:00 PM,,Vancouver Canucks,2,3,L,SO,16,14,7,L 1,"17,151",2:46,
38,1/1/26,10:00 PM,,Nashville Predators,4,1,W,,17,14,7,W 1,"17,151",2:17,
39,1/2/26,10:30 PM,@,Vancouver Canucks,4,3,W,SO,18,14,7,W 2,"18,724",2:38,
40,1/5/26,9:30 PM,@,Calgary Flames,5,1,W,,19,14,7,W 3,"16,510",2:25,
41,1/6/26,10:00 PM,,Boston Bruins,7,4,W,,20,14,7,W 4,"17,151",2:36,
42,1/8/26,10:00 PM,,Minnesota Wild,2,3,L,OT,20,14,8,L 1,"17,151",2:29,
43,1/10/26,7:00 PM,@,Carolina Hurricanes,2,3,L,,20,15,8,L 2,"18,310",2:24,
44,1/12/26,7:00 PM,@,New York Rangers,4,2,W,,21,15,8,W 1,"18,006",2:19,
45,1/14/26,7:00 PM,@,New Jersey Devils,2,3,L,OT,21,15,9,L 1,"16,027",2:24,
46,1/15/26,8:00 PM,@,Boston Bruins,2,4,L,,21,16,9,L 2,"17,850",2:26,
47,1/17/26,5:00 PM,@,Utah Mammoth,3,6,L,,21,17,9,L 3,"12,478",2:34,
48,1/19/26,5:00 PM,,Pittsburgh Penguins,3,6,L,,21,18,9,L 4,"17,151",2:25,
49,1/21/26,9:30 PM,,New York Islanders,4,1,W,,22,18,9,W 1,"17,151",2:22,
50,1/23/26,10:00 PM,,Anaheim Ducks,2,4,L,,22,19,9,L 1,"17,151",2:30,
51,1/25/26,3:00 PM,,New Jersey Devils,4,2,W,,23,19,9,W 1,"17,151",2:28,
52,1/27/26,10:00 PM,,Washington Capitals,5,1,W,,24,19,9,W 2,"17,151",2:36,
53,1/29/26,10:00 PM,,Toronto Maple Leafs,5,2,W,,25,19,9,W 3,"17,151",2:29,
54,1/31/26,10:00 PM,@,Vegas Golden Knights,3,2,W,,26,19,9,W 4,"18,141",2:24,
55,2/3/26,10:00 PM,@,Anaheim Ducks,2,4,L,,26,20,9,L 1,"16,214",2:31,
56,2/4/26,10:00 PM,@,Los Angeles Kings,4,2,W,,27,20,9,W 1,"18,145",2:40,
57,2/25/26,8:00 PM,@,Dallas Stars,1,4,L,,27,21,9,L 1,"18,532",2:29,
58,2/26/26,8:00 PM,@,St. Louis Blues,1,5,L,,27,22,9,L 2,"18,096",2:26,
59,2/28/26,10:00 PM,,Vancouver Canucks,5,1,W,,28,22,9,W 1,"17,151",2:24,
60,3/2/26,10:00 PM,,Carolina Hurricanes,2,1,W,,29,22,9,W 2,"17,151",2:25,
61,3/4/26,10:00 PM,,St. Louis Blues,2,3,L,,29,23,9,L 1,"17,151",2:27,
62,3/7/26,10:00 PM,,Ottawa Senators,4,7,L,,29,24,9,L 2,"17,151",2:36,
63,3/10/26,10:00 PM,,Nashville Predators,2,4,L,,29,25,9,L 3,"17,151",2:35,
64,3/12/26,10:00 PM,,Colorado Avalanche,1,5,L,,29,26,9,L 4,"17,151",2:23,
65,3/14/26,10:00 PM,@,Vancouver Canucks,5,2,W,,30,26,9,W 1,"18,611",2:23,
66,3/15/26,8:00 PM,,Florida Panthers,6,2,W,,31,26,9,W 2,"17,151",2:24,
67,3/17/26,10:00 PM,,Tampa Bay Lightning,2,6,L,,31,27,9,L 1,"17,151",2:21,
68,3/19/26,8:00 PM,@,Nashville Predators,1,3,L,,31,28,9,L 2,"17,159",2:31,
69,3/21/26,5:00 PM,@,Columbus Blue Jackets,2,5,L,,31,29,9,L 3,"18,864",2:23,
70,3/24/26,7:00 PM,@,Florida Panthers,4,5,L,SO,31,29,10,L 4,"19,043",2:35,
71,3/26/26,7:00 PM,@,Tampa Bay Lightning,4,3,W,OT,32,29,10,W 1,"19,092",2:37,
72,3/28/26,5:30 PM,@,Buffalo Sabres,2,3,L,SO,32,29,11,L 1,"19,070",2:44,
