GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/9/24,@,Montreal Canadiens,0,1,L,,0,1,0,L 1,"21,105",2:18,
2,10/10/24,@,New Jersey Devils,4,2,W,,1,1,0,W 1,"16,764",2:24,
3,10/12/24,,Pittsburgh Penguins,4,2,W,,2,1,0,W 2,"18,934",2:21,
4,10/16/24,,Los Angeles Kings,6,2,W,,3,1,0,W 3,"18,852",2:29,
5,10/19/24,,New York Rangers,1,4,L,,3,2,0,L 1,"18,988",2:24,
6,10/21/24,,Tampa Bay Lightning,5,2,W,,4,2,0,W 1,"18,356",2:29,
7,10/22/24,@,Columbus Blue Jackets,2,6,L,,4,3,0,L 1,"14,852",2:33,
8,10/24/24,,St. Louis Blues,1,5,L,,4,4,0,L 2,"18,414",2:29,
9,10/26/24,@,Boston Bruins,3,4,L,OT,4,4,1,L 3,"17,850",2:38,
10,10/28/24,@,Winnipeg Jets,6,4,W,,5,4,1,W 1,"15,225",2:29,
11,10/31/24,,Seattle Kraken,4,1,W,,6,4,1,W 2,"18,181",2:23,
12,11/2/24,@,St. Louis Blues,2,4,L,,6,5,1,L 1,"18,096",2:25,
13,11/3/24,@,Minnesota Wild,1,2,L,OT,6,5,2,L 2,"18,096",2:31,
14,11/5/24,,Boston Bruins,4,0,W,,7,5,2,W 1,"18,730",2:35,
15,11/8/24,,Detroit Red Wings,3,1,W,,8,5,2,W 2,"19,152",2:27,
16,11/9/24,,Montreal Canadiens,4,1,W,,9,5,2,W 3,"19,277",2:32,
17,11/12/24,,Ottawa Senators,0,3,L,,9,6,2,L 1,"18,648",2:33,
18,11/13/24,@,Washington Capitals,4,3,W,OT,10,6,2,W 1,"18,573",2:49,
19,11/16/24,,Edmonton Oilers,4,3,W,OT,11,6,2,W 2,"19,301",2:25,
20,11/20/24,,Vegas Golden Knights,3,0,W,,12,6,2,W 3,"18,853",2:32,
21,11/24/24,,Utah Hockey Club,3,2,W,,13,6,2,W 4,"18,641",2:32,
22,11/27/24,@,Florida Panthers,1,5,L,,13,7,2,L 1,"18,563",2:30,
23,11/30/24,@,Tampa Bay Lightning,5,3,W,,14,7,2,W 1,"19,092",2:35,
24,12/2/24,,Chicago Blackhawks,4,1,W,,15,7,2,W 2,"18,557",2:16,
25,12/4/24,,Nashville Predators,3,2,W,,16,7,2,W 3,"18,611",2:26,
