GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/8/25,7:00 PM,,Montreal Canadiens,5,2,W,,1,0,0,W 1,"19,037",2:25,
2,10/11/25,7:00 PM,@,Detroit Red Wings,3,6,L,,1,1,0,L 1,"19,515",2:24,
3,10/13/25,2:00 PM,,Detroit Red Wings,2,3,L,,1,2,0,L 2,"18,877",2:29,
4,10/14/25,7:00 PM,,Nashville Predators,7,4,W,,2,2,0,W 1,"18,124",2:31,
5,10/16/25,7:00 PM,,New York Rangers,2,1,W,OT,3,2,0,W 2,"18,267",2:28,
6,10/18/25,7:00 PM,,Seattle Kraken,3,4,L,OT,3,2,1,L 1,"18,589",2:37,
7,10/21/25,7:00 PM,,New Jersey Devils,2,5,L,,3,3,1,L 2,"18,306",2:29,
8,10/24/25,7:00 PM,@,Buffalo Sabres,3,5,L,,3,4,1,L 3,"17,211",2:27,
9,10/25/25,5:00 PM,,Buffalo Sabres,4,3,W,OT,4,4,1,W 1,"18,792",2:34,
10,10/28/25,6:00 PM,,Calgary Flames,4,3,W,,5,4,1,W 2,"18,454",2:27,
11,10/29/25,7:30 PM,@,Columbus Blue Jackets,3,6,L,,5,5,1,L 1,"16,558",2:29,
12,11/1/25,7:00 PM,@,Philadelphia Flyers,5,2,W,,6,5,1,W 1,"17,846",2:47,
13,11/3/25,7:30 PM,,Pittsburgh Penguins,4,3,W,,7,5,1,W 2,"18,916",2:28,
14,11/5/25,7:00 PM,,Utah Mammoth,5,3,W,,8,5,1,W 3,"18,457",2:24,
15,11/8/25,7:00 PM,,Boston Bruins,3,5,L,,8,6,1,L 1,"18,955",2:46,
16,11/9/25,7:00 PM,,Carolina Hurricanes,4,5,L,,8,7,1,L 2,"18,395",2:38,
17,11/11/25,7:00 PM,@,Boston Bruins,3,5,L,,8,8,1,L 3,"17,850",2:39,
18,11/13/25,7:00 PM,,Los Angeles Kings,3,4,L,OT,8,8,2,L 4,"18,305",2:28,
19,11/15/25,7:00 PM,@,Chicago Blackhawks,2,3,L,,8,9,2,L 5,"20,489",2:32,
20,11/18/25,7:00 PM,,St. Louis Blues,3,2,W,OT,9,9,2,W 1,"18,353",2:32,
21,11/20/25,7:00 PM,,Columbus Blue Jackets,2,3,L,OT,9,9,3,L 1,"18,438",2:37,
22,11/22/25,7:00 PM,@,Montreal Canadiens,2,5,L,,9,10,3,L 2,"20,962",2:37,
23,11/26/25,7:00 PM,@,Columbus Blue Jackets,2,1,W,OT,10,10,3,W 1,"16,632",2:40,
24,11/28/25,5:00 PM,@,Washington Capitals,2,4,L,,10,11,3,L 1,"18,347",2:25,
25,11/29/25,7:00 PM,@,Pittsburgh Penguins,7,2,W,,11,11,3,W 1,"17,310",2:27,
26,12/2/25,7:30 PM,@,Florida Panthers,4,1,W,,12,11,3,W 2,"19,268",2:21,
27,12/4/25,7:00 PM,@,Carolina Hurricanes,5,1,W,,13,11,3,W 3,"18,299",2:28,
28,12/6/25,7:00 PM,,Montreal Canadiens,1,2,L,SO,13,11,4,L 1,"19,081",2:45,
29,12/8/25,7:30 PM,,Tampa Bay Lightning,2,0,W,,14,11,4,W 1,"18,520",2:31,
30,12/11/25,7:00 PM,,San Jose Sharks,2,3,L,OT,14,11,5,L 1,"18,674",2:38,
