GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/9/24,,Calgary Flames,5,6,L,OT,0,0,1,L 1,"18,850",2:44,
2,10/11/24,,Philadelphia Flyers,2,3,L,SO,0,0,2,L 2,"18,875",2:47,
3,10/15/24,@,Tampa Bay Lightning,1,4,L,,0,1,2,L 3,"19,092",2:28,
4,10/17/24,@,Florida Panthers,3,2,W,OT,1,1,2,W 1,"17,865",2:40,
5,10/19/24,@,Philadelphia Flyers,3,0,W,,2,1,2,W 2,"19,083",2:31,
6,10/22/24,@,Chicago Blackhawks,6,3,W,,3,1,2,W 3,"17,118",2:32,
7,10/26/24,,Pittsburgh Penguins,4,3,W,,4,1,2,W 4,"18,748",2:25,
8,10/28/24,,Carolina Hurricanes,3,4,L,OT,4,1,3,L 1,"18,682",2:33,
9,10/30/24,,New Jersey Devils,0,6,L,,4,2,3,L 2,"18,717",2:24,
10,11/2/24,@,San Jose Sharks,3,2,W,,5,2,3,W 1,"17,435",2:20,
11,11/5/24,@,Anaheim Ducks,5,1,W,,6,2,3,W 2,"13,538",2:30,
12,11/7/24,@,Los Angeles Kings,4,2,W,,7,2,3,W 3,"17,855",2:24,
13,11/9/24,,Edmonton Oilers,3,7,L,,7,3,3,L 1,"18,714",2:31,
14,11/12/24,,Calgary Flames,3,1,W,,8,3,3,W 1,"18,781",2:29,
15,11/14/24,,New York Islanders,2,5,L,,8,4,3,L 1,"18,728",2:34,
16,11/16/24,,Chicago Blackhawks,4,1,W,,9,4,3,W 1,"18,620",2:22,
17,11/17/24,,Nashville Predators,3,5,L,,9,5,3,L 1,"18,587",2:20,
18,11/19/24,,New York Rangers,3,4,L,,9,6,3,L 2,"18,688",2:34,
19,11/23/24,@,Ottawa Senators,4,3,W,,10,6,3,W 1,"18,995",2:34,
20,11/26/24,@,Boston Bruins,2,0,W,,11,6,3,W 2,"17,850",2:36,
21,11/27/24,@,Pittsburgh Penguins,4,5,L,,11,7,3,L 1,"16,016",2:20,
22,11/29/24,@,Buffalo Sabres,4,3,W,OT,12,7,3,W 1,"18,059",2:32,
23,12/1/24,@,Detroit Red Wings,5,4,W,OT,13,7,3,W 2,"19,515",2:42,
24,12/3/24,@,Minnesota Wild,2,3,L,OT,13,7,4,L 1,"18,076",2:30,
25,12/6/24,,Columbus Blue Jackets,5,2,W,,14,7,4,W 1,"18,529",2:34,
26,12/8/24,,Tampa Bay Lightning,2,4,L,,14,8,4,L 1,"18,290",2:20,
27,12/10/24,,St. Louis Blues,3,4,L,OT,14,8,5,L 2,"18,754",2:35,
28,12/12/24,,Florida Panthers,4,0,W,,15,8,5,W 1,"18,614",2:25,
29,12/14/24,,Boston Bruins,1,5,L,,15,9,5,L 1,"18,787",2:31,
30,12/16/24,,Colorado Avalanche,3,1,W,,16,9,5,W 1,"18,856",2:24,
31,12/18/24,@,Utah Hockey Club,2,3,L,OT,16,9,6,L 1,"11,131",2:31,
32,12/19/24,@,Vegas Golden Knights,1,3,L,,16,10,6,L 2,"17,779",2:15,
33,12/21/24,,Ottawa Senators,4,5,L,OT,16,10,7,L 3,"18,940",2:30,
34,12/23/24,,San Jose Sharks,4,3,W,,17,10,7,W 1,"18,791",2:41,
35,12/28/24,,Seattle Kraken,4,5,L,OT,17,10,8,L 1,"18,905",2:27,
36,12/31/24,@,Calgary Flames,1,3,L,,17,11,8,L 2,"19,289",2:38,
37,1/2/25,@,Seattle Kraken,4,3,W,SO,18,11,8,W 1,"17,151",2:40,
38,1/3/25,,Nashville Predators,0,3,L,,18,12,8,L 1,"18,894",2:24,
39,1/6/25,@,Montreal Canadiens,4,5,L,OT,18,12,9,L 2,"21,105",2:26,
40,1/8/25,@,Washington Capitals,1,2,L,OT,18,12,10,L 3,"17,941",2:39,
41,1/10/25,@,Carolina Hurricanes,0,2,L,,18,13,10,L 4,"18,700",2:29,
42,1/11/25,@,Toronto Maple Leafs,3,0,W,,19,13,10,W 1,"19,104",2:18,
43,1/14/25,@,Winnipeg Jets,1,6,L,,19,14,10,L 1,"14,050",2:21,
44,1/16/25,,Los Angeles Kings,1,5,L,,19,15,10,L 2,"18,913",2:31,
45,1/18/25,,Edmonton Oilers,3,2,W,,20,15,10,W 1,"18,965",2:30,
46,1/21/25,,Buffalo Sabres,2,3,L,,20,16,10,L 1,"19,064",2:23,
47,1/23/25,@,Edmonton Oilers,2,6,L,,20,17,10,L 2,"18,347",2:33,
48,1/25/25,,Washington Capitals,2,1,W,,21,17,10,W 1,"18,876",2:24,
49,1/27/25,@,St. Louis Blues,5,2,W,,22,17,10,W 2,"17,445",2:30,
50,1/29/25,@,Nashville Predators,3,1,W,,23,17,10,W 3,"17,159",2:22,
51,1/31/25,@,Dallas Stars,3,5,L,,23,18,10,L 1,"18,532",2:22,
52,2/2/25,,Detroit Red Wings,2,3,L,OT,23,18,11,L 2,"18,872",2:33,
53,2/4/25,,Colorado Avalanche,3,0,W,,24,18,11,W 1,"18,924",2:34,
54,2/6/25,@,San Jose Sharks,2,1,W,OT,25,18,11,W 2,"11,509",2:30,
55,2/8/25,,Toronto Maple Leafs,2,1,W,,26,18,11,W 3,"19,022",2:19,
56,2/22/25,@,Vegas Golden Knights,1,3,L,,26,19,11,L 1,"18,309",2:33,
57,2/23/25,@,Utah Hockey Club,1,2,L,,26,20,11,L 2,"11,131",2:29,
58,2/26/25,@,Los Angeles Kings,3,2,W,OT,27,20,11,W 1,"15,470",2:38,
59,2/27/25,@,Anaheim Ducks,2,5,L,,27,21,11,L 1,"17,174",2:22,
60,3/1/25,@,Seattle Kraken,3,6,L,,27,22,11,L 2,"17,151",2:25,
61,3/5/25,,Anaheim Ducks,3,2,W,,28,22,11,W 1,"18,865",2:40,
62,3/7/25,,Minnesota Wild,3,1,W,,29,22,11,W 2,"18,885",2:19,
63,3/9/25,,Dallas Stars,1,4,L,,29,23,11,L 1,"18,656",2:24,
64,3/11/25,,Montreal Canadiens,2,4,L,,29,24,11,L 2,"18,886",2:39,
65,3/12/25,@,Calgary Flames,4,3,W,SO,30,24,11,W 1,"18,805",2:47,
66,3/15/25,,Chicago Blackhawks,6,2,W,,31,24,11,W 2,"18,847",2:21,
67,3/16/25,,Utah Hockey Club,1,3,L,,31,25,11,L 1,"18,804",2:31,
68,3/18/25,,Winnipeg Jets,6,2,W,,32,25,11,W 1,"18,968",2:18,
69,3/20/25,@,St. Louis Blues,3,4,L,OT,32,25,12,L 1,"18,096",2:31,
70,3/22/25,@,New York Rangers,3,5,L,,32,26,12,L 2,"18,006",2:34,
71,3/24/25,@,New Jersey Devils,4,3,W,SO,33,26,12,W 1,"16,113",2:42,
72,3/26/25,@,New York Islanders,5,2,W,,34,26,12,W 2,"15,254",2:28,
73,3/28/25,@,Columbus Blue Jackets,6,7,L,SO,34,26,13,L 1,"18,586",2:53,
74,3/30/25,@,Winnipeg Jets,1,3,L,,34,27,13,L 2,"15,225",2:35,
75,4/2/25,,Seattle Kraken,0,5,L,,34,28,13,L 3,"18,914",2:21,
76,4/5/25,,Anaheim Ducks,6,2,W,,35,28,13,W 1,"18,914",2:28,
77,4/6/25,,Vegas Golden Knights,2,3,L,,35,29,13,L 1,"18,807",2:39,
78,4/8/25,@,Dallas Stars,6,5,W,OT,36,29,13,W 1,"18,532",2:29,
79,4/10/25,@,Colorado Avalanche,4,1,W,,37,29,13,W 2,"18,092",2:36,
80,4/12/25,,Minnesota Wild,2,3,L,OT,37,29,14,L 1,"18,844",2:38,
81,4/14/25,,San Jose Sharks,2,1,W,OT,38,29,14,W 1,"18,908",2:28,
82,4/16/25,,Vegas Golden Knights,1,4,L,,38,30,14,L 1,"18,942",2:23,
