GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/9/25,10:00 PM,,Calgary Flames,5,1,W,,1,0,0,W 1,"19,012",2:33,
2,10/11/25,10:00 PM,@,Edmonton Oilers,1,3,L,,1,1,0,L 1,"18,347",2:33,
3,10/13/25,7:30 PM,,St. Louis Blues,2,5,L,,1,2,0,L 2,"18,952",2:19,
4,10/16/25,8:00 PM,@,Dallas Stars,5,3,W,,2,2,0,W 1,"18,532",2:26,
5,10/17/25,8:30 PM,@,Chicago Blackhawks,3,2,W,SO,3,2,0,W 2,"18,306",2:54,
6,10/19/25,12:30 PM,@,Washington Capitals,4,3,W,,4,2,0,W 3,"17,018",2:36,
7,10/21/25,7:00 PM,@,Pittsburgh Penguins,1,5,L,,4,3,0,L 1,"13,685",2:26,
8,10/23/25,8:00 PM,@,Nashville Predators,1,2,L,,4,4,0,L 2,"17,159",2:24,
9,10/25/25,7:00 PM,,Montreal Canadiens,3,4,L,,4,5,0,L 3,"18,846",2:32,
10,10/26/25,10:00 PM,,Edmonton Oilers,4,3,W,OT,5,5,0,W 1,"18,770",2:33,
11,10/28/25,10:00 PM,,New York Rangers,0,2,L,,5,6,0,L 1,"18,919",2:23,
12,10/30/25,8:00 PM,@,St. Louis Blues,4,3,W,SO,6,6,0,W 1,"16,848",2:44,
13,11/1/25,7:00 PM,@,Minnesota Wild,2,5,L,,6,7,0,L 1,"17,216",2:31,
14,11/3/25,8:30 PM,@,Nashville Predators,5,4,W,OT,7,7,0,W 1,"17,159",2:42,
15,11/5/25,10:00 PM,,Chicago Blackhawks,2,5,L,,7,8,0,L 1,"19,002",2:22,
16,11/8/25,10:00 PM,,Columbus Blue Jackets,4,3,W,,8,8,0,W 1,"18,763",2:31,
17,11/9/25,10:00 PM,,Colorado Avalanche,4,5,L,OT,8,8,1,L 1,"18,643",2:33,
18,11/11/25,10:00 PM,,Winnipeg Jets,3,5,L,,8,9,1,L 2,"18,725",2:32,
19,11/14/25,7:00 PM,@,Carolina Hurricanes,3,4,L,OT,8,9,2,L 3,"18,299",2:37,
20,11/16/25,5:00 PM,@,Tampa Bay Lightning,6,2,W,,9,9,2,W 1,"19,092",2:37,
21,11/17/25,7:00 PM,@,Florida Panthers,5,8,L,,9,10,2,L 1,"19,260",2:40,
22,11/20/25,10:00 PM,,Dallas Stars,2,4,L,,9,11,2,L 2,"18,703",2:29,
23,11/23/25,9:00 PM,,Calgary Flames,2,5,L,,9,12,2,L 3,"18,671",2:24,
